video_id,title,publishedAt,duration,dimension,definition,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,tags,dateExtract
M6cn3QFe-NA,Cuộc đời bạn có đang bất công và bạn không biết nên làm gì với những sự khốn khó? #suytuong,2023-09-18T04:18:28Z,PT58S,2d,hd,7927,433,,0,3,"['spiderum', 'spiderum giáo dục', 'spiderum channel', 'spiderum lịch sử', 'spiderum tiền tài', 'spiderum lối sống', 'spiderum là gì', 'spiderum podcast', 'spiderum khoa học', 'spiderum blockchain', 'spiderum thế giới', 'spiderum books', 'spiderum quan điểm', 'spiderum yêu', 'spiderum hướng nghiệp', 'spiderum kinh tế', 'spiderum khắc kỷ', 'spiderum videos', 'spiderum làm việc', 'spiderum giải trí', 'bom hạt nhân spiderum', 'bách niên quốc sỉ spiderum', 'nhật bản thực sự tệ đến đâu spiderum']",2024-07-09 14:10:09.382188
UN3e_drOrxY,MIYAMOTO MUSASHI & Triết lý “Tự kỷ luật bản thân” | Văn Xương | Lối sống,2023-09-17T10:30:06Z,PT13M33S,2d,hd,137085,5913,,0,201,"['MIYAMOTO MUSASHI & Triết lý “Tự kỷ luật bản thân” | Văn Xương | Lối sống', 'MIYAMOTO MUSASHI & Triết lý “Tự kỷ luật bản thân”', 'đệ nhất kiếm sĩ miyamoto musashi tiêu điểm nhân vật', 'miyamoto musashi kẻ độc hành vĩ đại nhất nhật bản spiderum', 'Miyamoto Musashi Meditation: Enter Flow State For 1 Hour', 'miyamoto musashi gã samuria vô chủ blv anh quân', 'miyamoto musashi là ai', 'Tự kỷ luật bản thân', 'kỷ luật bản thân', 'tự kỷ luật bản thân', 'phát triển bản thân', 'kỷ luật']",2024-07-09 14:10:09.499127
Vv1G-TL86wA,Người đàn ông này đã PHÁ ĐẢO thị trường chứng khoán nhờ TOÁN HỌC | Trang Lê | Tiền tài,2023-09-16T10:30:07Z,PT14M26S,2d,hd,78574,1473,,0,88,"['người đàn ông đã phá đảo thị trường chứng khoán', 'thị trường tài chính là gì', 'nâng hạng thị trường tài chính', 'cập nhật thị trường chứng khoán ngày hôm nay', 'phân tích kỹ thuật chứng khoán hôm nay', 'phân tích cổ phiếu hôm nay', 'chứng khoán hôm nay', 'phân tíhc chứng khoán', 'jim simons là ai', 'người đàn ông phá đảo thị trường chứng khoán spiderum', 'đầu tư chứng khoán', 'đầu tư chứng khoán như thế nào', 'Người đàn ông này đã PHÁ ĐẢO thị trường chứng khoán nhờ TOÁN HỌC | Trang Lê | Tiền tài']",2024-07-09 14:10:09.616432
jJ6XC2Hgb-A,5 TRIẾT GIA KHẮC KỶ QUAN TRỌNG NHẤT | Minh HD | Giáo dục,2023-09-16T04:30:11Z,PT13M41S,2d,hd,10960,286,,0,4,"['5 triết gia khắc kỷ quan trọng nhất spiderum', '11 bài học vô giá từ chủ nghĩa khắc kỷ spiderum', '11 bài học vô giá từ chủ nghĩa khắc kỷ', 'chủ nghĩa khắc kỷ ferb', 'chủ nghĩa khắc kỷ dạy ta đối mặt với lo lắng như thế nào spiderum', 'stoicism chủ nghĩa khắc kỷ andy luong spiderum', 'chủ nghĩa khắc kỷ nói gì về việc có tiền spiderum', 'sự tương đồng giữa chủ nghĩa khắc kỷ và phật giáo spiderum', '10 lối sống đáng theo đuổi spiderum', 'chủ nghĩa khắc kỷ']",2024-07-09 14:10:09.746026
XUFWRDxraCg,Chiến tranh trong phim Hàn Quốc: Liệu còn là CỖ MÁY TUYÊN TRUYỀN RẬP KHUÔN? | Lê Khánh 123 |Giải trí,2023-09-15T10:30:08Z,PT11M12S,2d,hd,15137,400,,0,100,"['chiến tranh trong điện ảnh Hàn Quốc', 'chiến tranh triều tiên', 'tóm tắt chiến tranh triều tiên', 'Chiến tranh trong phim Hàn Quốc: Liệu còn là cỗ máy tuyên truyền rập khuôn? | Lê Khánh 123 |Giải trí', 'phim hành động lịch sử chiến tranh hàn quốc', 'kiểm duyệt phim học được gì từ cường quốc điện ảnh hàn quốc phê phim', 'điện ảnh hàn quốc phê phim', 'vì sao tất cả người hàn quốc đều xem phim của song kang ho', 'vengeance trilogy kiệt tác điện ảnh hàn quốc', 'phim kinh dị hàn quốc hack não nhất']",2024-07-09 14:10:09.871913
-fBx4JMaZVk,HỆ THỐNG CHẤM ĐIỂM CÔNG DÂN: Tại sao giới trẻ TRUNG QUỐC vẫn THỜ Ơ? | Sweetie Cherish | Thế giới,2023-09-14T10:30:00Z,PT12M53S,2d,hd,124291,2285,,0,724,"['trung quốc', 'hệ thống chấm điểm công dân', 'sự thật về hệ thống chấm điểm công dân trung quốc', 'hệ thống giáo dục trung quốc', 'chấm điểm công dân', 'hệ thống chấm điểm xã hội tại mỹ', 'kinh tế trung quốc', 'truyền hình thông tấn', 'trung quốc cấm đánh bắt cá ở vùng biển hoàng sa', 'thủy điện trung quốc trên sông mê kông', 'trung quốc xây thủy điện', 'trung quoc', 'trung quốc xây thủy điện như nấm', 'HỆ THỐNG CHẤM ĐIỂM CÔNG DÂN: Tại sao giới trẻ TRUNG QUỐC vẫn THỜ Ơ? | Sweetie Cherish | Thế giới']",2024-07-09 14:10:09.995218
e-5Erc_Z7Bw,Bàn về việc Nhật Bản XẢ NƯỚC PHÓNG XẠ đã qua xử lý ra biển | Lebenslangerschicksalsschatz | Thế giới,2023-09-13T11:00:29Z,PT13M32S,2d,hd,59839,1243,,0,261,"['bàn về việc nhật bản xả nước phóng xạ đã qua xử lý ra biển', 'nhật bản xả nước phóng xạ ra biển', 'nhật bản bắt đầu xả nước thải fukushima ra biển vtv24', 'cận cảnh quy trình nhật bản lọc nước thải nhiễm phóng xạ vtv24', 'nhật bản thực sự tệ đến đâu spiderum', 'mặt tối trong truyền thống ăn thịt cá voi của nhật bản spiderum', 'nhật bản nền kinh tế lớn thứ 3 thế giới spiderum', 'nhật bản xả nước phóng']",2024-07-09 14:10:10.115246
sVKbPh_QS6k,Cô độc có phải một trải nghiệm tiêu cực? #suytuong #chunghiakhacky #Spiderum #triethocthuchanh,2023-09-13T08:08:25Z,PT55S,2d,hd,5111,269,,0,6,"['cô đơn', 'cô độc', 'tiêu cực', 'sống tiêu cực', 'suy nghĩ tiêu cực', 'năng lượng tiêu cực', 'sống cô độc', 'vượt qua cảm xúc tiêu cực', 'giáo viên chống tiêu cực', 'sống tích cực', 'sống sót trong cùng cực tuyệt vọng và cô đơn', 'cảm thấy cô đơn lạc lõng', 'sự cô đơn', 'cô đơn lạc lõng', 'làm gì khi cô đơn', 'suy nghĩ tích cực', 'cô', 'đơn độc', 'cái tôi và sự cô đơn', 'tích cực', 'sống có tâm', 'sống độc lập', 'vì sao cô đơn', 'ở giữa cô đơn', 'mr quéo cô đơn', 'hữu trí cô đơn', '10 điều cần ghi nhớ khi cô đơn']",2024-07-09 14:10:10.237209
PPa4Dc-H6dw,Thời kỳ NHỤC NHÃ NHẤT trong lịch sử Trung Quốc? | quanggkhai | Thế giới,2023-09-12T10:30:08Z,PT13M22S,2d,hd,176314,2413,,0,407,"['Thời kỳ NHỤC NHÃ NHẤT trong lịch sử Trung Quốc? | quanggkhai | Thế giới', 'thời kỳ nhục nhã nhất trong lịch sử trung quốc spiderum', 'thời kỳ đen tối nhất trong lịch sử trung quốc spiderum', 'bách niên quốc sỉ thời kỳ nhục nhã nhất trong lịch sử trung quốc', 'cách mạng văn hoá trung quốc spiderum', 'đại cách mạng văn hoá thời kỳ đen tối nhất của lịch sử trung quốc spiderum', 'đại cách mạng văn hoá trung quốc', 'tóm tắt nhanh cách mạng văn hoá thảm hoạ của trung quốc', 'bách niên quốc sỉ spiderum']",2024-07-09 14:10:10.356062
BbM7hfNWDlg,Nhật Bản trở thành nền kinh tế LỚN THỨ 3 thế giới như thế nào? | Sweet Dreams | Tiền tài,2023-09-11T11:00:08Z,PT16M29S,2d,hd,100572,1470,,0,242,"['nhật bản đã trở thành nền kinh tế lớn thứ 3 thế giới như thế nào?', 'kinh tế nhật bản', 'nhật bản', 'nền kinh tế nhật bản', 'kinh tế nhật', 'kinh tế nhật bản hiện nay', 'kinh tế nhật bản suy giảm', 'nền kinh tế đêm nhật bản', 'kinh tế thế giới', 'sơ lược về nền kinh tế nhật bản', 'kinh tế nhật suy giảm', 'tin kinh tế', 'kinh tế nhật bản tăng', 'lạm phát nhật bản', 'kiến thức kinh tế', 'kinh tế ban đêm của nhật bản', 'kinh tế nhật bản từ năm 2000 đến nay', 'nền kinh tế', 'lịch sử nhật bản', 'nền kinh tế thế giới']",2024-07-09 14:10:10.473616
